"시도별","항목",2018,2019,2020,2021,2022
"전 체","평  균 (만원)",29.1,32.1,30.2,36.7,41.0
"전 체","초등학교 (만원)",26.3,29.0,23.5,32.8,37.2
"전 체","중학교 (만원)",31.2,33.8,34.2,39.2,43.8
"전 체","고등학교 (만원)",32.1,36.5,39.6,41.9,46.0
"전 체","일반고 (만원)",37.6,42.5,45.7,48.2,52.5
"서울특별시","평  균 (만원)",41.1,45.1,45.3,52.9,59.6
"서울특별시","초등학교 (만원)",36.5,38.5,35.1,47.3,53.6
"서울특별시","중학교 (만원)",41.5,46.3,49.2,52.6,60.5
"서울특별시","고등학교 (만원)",48.4,55.6,60.5,63.4,70.3
"서울특별시","일반고 (만원)",56.6,65.2,69.8,73.5,79.5
"부산광역시","평  균 (만원)",27.6,31.6,28.3,36.9,39.5
"부산광역시","초등학교 (만원)",24.1,28.8,21.1,32.8,35.1
"부산광역시","중학교 (만원)",31.6,32.5,34.0,42.1,45.0
"부산광역시","고등학교 (만원)",30.2,36.0,37.3,40.0,43.3
"부산광역시","일반고 (만원)",37.1,44.2,44.8,48.2,51.2
"대구광역시","평  균 (만원)",30.3,32.9,29.0,40.0,43.7
"대구광역시","초등학교 (만원)",27.7,29.5,21.3,37.4,40.4
"대구광역시","중학교 (만원)",33.2,34.2,34.4,42.2,46.9
"대구광역시","고등학교 (만원)",31.8,37.5,38.1,42.7,47.3
"대구광역시","일반고 (만원)",38.2,45.4,45.9,50.4,56.4
"인천광역시","평  균 (만원)",27.7,31.3,30.1,34.4,38.6
"인천광역시","초등학교 (만원)",24.5,27.8,24.3,29.8,35.1
"인천광역시","중학교 (만원)",30.0,33.4,32.9,38.9,39.7
"인천광역시","고등학교 (만원)",31.4,36.3,39.4,39.1,44.9
"인천광역시","일반고 (만원)",38.9,44.3,48.0,46.0,52.7
"광주광역시","평  균 (만원)",26.2,27.6,29.9,32.0,35.6
"광주광역시","초등학교 (만원)",25.2,24.3,26.3,27.4,31.0
"광주광역시","중학교 (만원)",31.0,31.9,33.2,37.4,41.4
"광주광역시","고등학교 (만원)",23.7,29.7,33.7,35.6,38.7
"광주광역시","일반고 (만원)",27.0,33.9,38.9,40.8,44.0
"대전광역시","평  균 (만원)",27.0,31.1,30.2,36.4,38.9
"대전광역시","초등학교 (만원)",24.0,27.9,22.7,34.1,37.0
"대전광역시","중학교 (만원)",29.3,31.7,34.9,35.3,41.1
"대전광역시","고등학교 (만원)",30.2,36.4,39.7,41.9,40.2
"대전광역시","일반고 (만원)",35.7,42.5,46.3,47.0,46.1
"울산광역시","평  균 (만원)",26.5,27.4,25.4,30.0,36.7
"울산광역시","초등학교 (만원)",25.1,24.8,19.7,26.7,35.4
"울산광역시","중학교 (만원)",29.1,30.3,31.0,34.0,39.3
"울산광역시","고등학교 (만원)",26.8,30.2,32.1,33.1,36.7
"울산광역시","일반고 (만원)",31.4,35.4,37.3,38.0,42.6
"세종특별자치시","평  균 (만원)",28.8,34.1,30.7,36.9,41.8
"세종특별자치시","초등학교 (만원)",26.2,30.6,24.5,33.1,37.7
"세종특별자치시","중학교 (만원)",33.4,40.2,37.2,40.6,45.8
"세종특별자치시","고등학교 (만원)",31.1,37.3,40.5,43.2,48.1
"세종특별자치시","일반고 (만원)",32.3,38.6,42.1,44.9,49.9
"경기도","평  균 (만원)",32.1,35.8,31.6,39.3,44.6
"경기도","초등학교 (만원)",28.2,33.2,23.5,34.6,40.1
"경기도","중학교 (만원)",33.2,35.7,35.7,42.2,47.3
"경기도","고등학교 (만원)",38.5,41.4,45.0,46.3,51.8
"경기도","일반고 (만원)",42.9,46.0,49.5,50.7,56.7
"강원특별자치도","평  균 (만원)",20.5,22.0,22.6,26.6,29.6
"강원특별자치도","초등학교 (만원)",18.9,22.5,20.9,24.6,28.8
"강원특별자치도","중학교 (만원)",25.5,20.9,23.3,28.9,30.7
"강원특별자치도","고등학교 (만원)",18.8,21.9,25.1,28.3,29.9
"강원특별자치도","일반고 (만원)",21.5,25.3,29.2,32.9,33.9
"충청북도","평  균 (만원)",24.4,24.3,22.5,28.4,31.8
"충청북도","초등학교 (만원)",22.5,23.9,19.0,27.9,30.0
"충청북도","중학교 (만원)",29.1,25.9,25.7,28.7,35.0
"충청북도","고등학교 (만원)",23.6,23.6,26.5,29.3,31.9
"충청북도","일반고 (만원)",30.7,28.9,34.1,36.5,39.3
"충청남도","평  균 (만원)",18.7,23.7,19.5,26.0,29.2
"충청남도","초등학교 (만원)",17.7,21.6,16.4,23.3,25.9
"충청남도","중학교 (만원)",20.2,28.1,21.1,29.2,33.6
"충청남도","고등학교 (만원)",19.1,23.8,24.5,28.4,31.7
"충청남도","일반고 (만원)",22.2,28.1,28.9,33.8,37.5
"전라북도","평  균 (만원)",20.9,23.9,22.6,27.4,29.6
"전라북도","초등학교 (만원)",19.6,20.4,18.5,23.9,26.6
"전라북도","중학교 (만원)",24.5,27.6,26.3,30.0,30.3
"전라북도","고등학교 (만원)",20.1,26.7,26.3,31.1,34.4
"전라북도","일반고 (만원)",23.9,31.3,30.6,36.4,39.4
"전라남도","평  균 (만원)",19.0,18.1,19.1,23.3,26.1
"전라남도","초등학교 (만원)",19.1,15.1,16.0,22.4,25.1
"전라남도","중학교 (만원)",22.0,22.6,23.0,25.6,30.8
"전라남도","고등학교 (만원)",16.6,19.7,21.4,22.9,23.5
"전라남도","일반고 (만원)",21.0,24.7,27.5,28.5,29.7
"경상북도","평  균 (만원)",21.4,22.5,20.7,27.9,29.4
"경상북도","초등학교 (만원)",20.4,21.4,16.5,26.4,28.4
"경상북도","중학교 (만원)",26.4,25.7,27.2,31.6,32.4
"경상북도","고등학교 (만원)",19.0,21.6,22.9,27.2,28.6
"경상북도","일반고 (만원)",22.7,26.2,28.1,32.8,34.7
"경상남도","평  균 (만원)",22.6,24.8,24.1,27.6,31.1
"경상남도","초등학교 (만원)",22.3,23.2,20.2,24.9,28.6
"경상남도","중학교 (만원)",22.6,28.9,28.1,29.8,35.4
"경상남도","고등학교 (만원)",23.3,24.4,28.4,31.2,31.8
"경상남도","일반고 (만원)",26.2,27.1,31.7,34.8,35.3
"제주특별자치도","평  균 (만원)",23.2,25.8,27.3,29.6,31.4
"제주특별자치도","초등학교 (만원)",21.5,22.8,25.2,27.0,28.5
"제주특별자치도","중학교 (만원)",28.2,29.8,28.9,34.2,36.4
"제주특별자치도","고등학교 (만원)",21.8,28.1,30.1,30.5,32.6
"제주특별자치도","일반고 (만원)",25.5,33.0,34.6,35.1,36.8
